品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
锤子科技坚果Pro 2（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3500mAh  不可拆卸式电池|1200万像素+500万像素|Smartisan OS|4GB|1399
小米红米5 Plus（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙625|2.0GHz  八核|4000mAh  不可拆卸式电池|1200万像素|MIUI 9|3GB|799
荣耀Magic 2（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|海思 Kirin 980|2×Cortex-A76 Based 2.6GHz + 2×Cortex-A76 Based 1.92GHz + 4×Cortex-A55 1.8GHz  八核|3500mAh  不可拆卸式电池|1600万像素+2400万像素+1600万像素|Magic UI 2.0（基于Android 9.0）|8GB|4299
华为nova 3i（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|海思 Kirin 710|2.2GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.2（基于Android 8.1）|6GB|2199
OPPO R15梦镜版（梦境红/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|高通 骁龙660|2.2GHz  八核|3400mAh  不可拆卸式电池|2000万像素+1600万像素|ColorOS 5.0（基于Android 8.1）|6GB|2999
三星Galaxy A9 Star（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2220x1080像素|2.2GHz（大四核），1.8GHz（小四核）  八核|3700mAh  不可拆卸式电池|1600万像素+2400万像素|Android 8.0|4GB|64GB|2969
vivo Y79（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3225mAh|1600万像素|Android 7.1|4GB|1598
华为畅享9 Plus（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2340x1080像素|海思 Kirin 710|2.2GHz（大四核），1.7GHz（小四核）  八核|4000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.2（基于Android 8.1）|6GB|1999
华为nova 2 Plus（BAC-AL00/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|海思 Kirin 659|2.36GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1200万像素+800万像素|EMUI 5.1（基于Android 7.0）|4GB|1459
一加6（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|高通 骁龙845|2.8GHz  八核|3300mAh  不可拆卸式电池|1600万像素+2000万像素|H2 OS 5.1（基于Android 8.1）|6GB|2599
苹果iPhone 8（国际版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.7英寸  1334x750像素|苹果 A11+M11协处理器|1821mAh  不可拆卸式电池|1200万像素|iOS 11|2GB|64GB/256GB|4688
荣耀8青春版（PRA-AL00X/4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|海思 Kirin 655|2.1GHz（大四核），1.7GHz（小四核） + 微智核I5  八核|3000mAh  不可拆卸式电池|1200万像素|EMUI 5.0（基于Android 7.0）|4GB|888
诺基亚6（TA-1000/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙430（MSM8937）|1.4GHz（大四核），1.1GHz（小四核）  八核|3000mAh  不可拆卸式电池|1600万像素|Android 7.0|4GB|999
vivo X20Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.43英寸  2160x1080像素|高通 骁龙660|2.2GHz（大四核），1.8GHz（小四核）  八核|3905mAh  不可拆卸式电池|主摄2x1200万像素（2400万感光单元）+副摄500万像素|Funtouch OS 3.2（基于Android 7.1）|4GB|2798
LG G7 ThinQ（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  3120x1440像素|高通 骁龙845|2.8GHz  八核|3000mAh  不可拆卸式电池|双1600万像素|Android 8.0|6GB|5068
荣耀V10（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|3750mAh  不可拆卸式电池|2000万像素+1600万像素|EMUI 8.0（基于Android 8.0）|6GB|1999
魅族Zero（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙845|3600mAh  不可拆卸式电池|Flyme 7|4GB|64GB|2000万像素|即将上市
锤子科技坚果R1（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.17英寸  2240x1080像素|高通 骁龙845|2.8GHz  八核|3600mAh  不可拆卸式电池|1200万像素+2000万像素|Smartisan OS（基于Android）|6GB|2999
努比亚α（蓝牙版）|4.01英寸  960x192像素|高通 骁龙Wear 2100（MSM8909W）|1.2GH（Cortex-A7）  四核|500mAh  不可拆卸式电池|Android Wear 2.1|1GB|8GB|500万像素|即将上市
魅族15 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.95英寸  2560x1440像素|三星 Exynos 8895|2.3GHz|3500mAh  不可拆卸式电池|长焦镜头2000万像素+广角镜头1200万像素|Flyme 7|6GB|2498
中兴Axon M（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.4GHz  四核|3180mAh|2000万像素|Android 7.1|4GB|3588
索尼Xperia XZ3（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|6英寸  2880x1440像素|高通 骁龙845|3200mAh  不可拆卸式电池|1900万像素|Android 9|6GB|64GB|4799
vivo V15 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙675|3700mAh  不可拆卸式电池|4800万像素+800万像素+500万像素|Funtouch OS 9（基于Android 9.0）|6GB|128GB|概念产品
华为畅享8e青春版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.45英寸  1440x720像素|联发科 MT6739|1.5GHz  四核|3020mAh  不可拆卸式电池|1300万像素|EMUI 8.0（基于Android 8.1）|2GB|799
索尼Xperia XZ Premium（G8142/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.5英寸  3840x2160像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3230mAh  不可拆卸式电池|1900万像素|Android 7.1|4GB|4199
努比亚Z17（8GB版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3200mAh  不可拆卸式电池|2300万像素+1200万像素|nubia UI 5.0（基于Android 7.1）|8GB|1999
三星GALAXY S6 Edge+（G9280/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|三星 Exynos 7420|2.1GHz（大四核），1.5GHz（小四核）  八核|3000mAh  不可拆卸式电池|1600万像素|TouchWiz（基于Android 5.1）|4GB|2299
魅族16s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2340x1080像素|高通 骁龙855|4500mAh  不可拆卸式电池|双1200万像素|8GB|256GB|1200万像素|概念产品
华为畅享6（NCE-AL00/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6750|1.5GHz（大四核），1.0GHz（小四核）  八核|4100mAh  不可拆卸式电池|1300万像素|EMUI 4.1（基于Android 6.0）|3GB|650
苹果iPhone XR（国际版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|6.1英寸  1792x828像素|苹果 A12|2942mAh  不可拆卸式电池|1200万像素|iOS 12|3GB|64GB/128GB/256GB|5899
小米6X（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙660AIE|2.2GHz  八核|3010mAh  不可拆卸式电池|2000万像素+1200万像素|MIUI 9（基于Android 8.1）|6GB|1299
联想Z5 Pro GT 855版（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙855|2.84GHz  八核|3350mAh  不可拆卸式电池|2400万像素+1600万像素|ZUI 10.0（基于Android O）|6GB|2698
vivo X25（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1280x720像素|高通 骁龙710|4000mAh  不可拆卸式电池|2400万像素+1600万像素|Android 7.1|6GB|128GB|概念产品
魅族PRO 7（标准版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|联发科 Helio P25|3000mAh  不可拆卸式电池|双1200万像素|Flyme 6（基于Android 7.0）|4GB|64GB/128GB|1299
努比亚Z18（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|3450mAh  不可拆卸式电池|1600万像素+2400万像素|nubia UI 6.0（基于Android 8.1.0）|6GB|64GB|2799
荣耀Magic（NTS-AL00/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.09英寸  2560x1440像素|海思 Kirin 950|2.3GHz（大四核），1.8GHz（小四核） + 微智核I5  八核|2900mAh  不可拆卸式电池|双1200万像素|荣耀Magic Live（基于Android 6.0）|4GB|2190
vivo Z1i（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙636|1.8GHz（大四核），1.6GHz（小四核）  八核|3260mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS（基于Android 8.1）|4GB|1898
荣耀V8（KNT-AL20/高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|海思 Kirin 950系列|2.3GHz（大四核），1.8GHz（小四核）  八核|3500mAh  不可拆卸式电池|双1200万像素|EMUI 5.0（基于Android 7.0）|4GB|1635
苹果iPhone XS Max（国际版/双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2688x1242像素|苹果 A12|3174mAh  不可拆卸式电池|双1200万像素广角及长焦镜头|iOS 12|4GB|64GB/256GB/512GB|8398
vivo Y73（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|SDM439|1.95GHz（大四核），1.45GHz（小四核）  八核|3360mAh  不可拆卸式电池|1300万像素|Funtouch OS 4.5（基于Android 8.1）|3GB|799
华为Mate 20 X（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7.2英寸  2244x1080像素|海思 Kirin 980|2×Cortex A76 2.6GHz+2×Cortex A76 1.92GHz+4×Cortex A55 1.8GHz  八核|5000mAh  不可拆卸式电池|4000万像素+2000万像素+800万像素|EMUI 9（基于Android 9.0）|8GB|5999
黑鲨游戏手机（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|2.8GHz|4000mAh  不可拆卸式电池|2000万像素+1200万像素|JOY UI|8GB|2599
荣耀畅玩5X（KIW-TL00/移动4G）|移动TD-LTE|5.5英寸  1920x1080像素|高通 骁龙616（MSM8939）|1.5GHz（大四核），1.2GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素|EMUI 3.1（基于Android 5.1）|2GB|590
荣耀畅玩7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.45英寸  1440x720像素|联发科 MT6739|1.5GHz  四核|3020mAh  不可拆卸式电池|1300万像素|EMUI（基于Android 8.1）|2GB|549
360 手机N7 Lite（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙660 AIE|2.2GHz（大四核），1.8GHz（小四核）  八核|4050mAh  不可拆卸式电池|1300万像素+200万像素|360 OS 3.0（基于Android 8.0）|4GB|999
华为畅享6S（DIG-AL00/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|高通 骁龙435（MSM8940）|1.4GHz（大四核），1.1GHz（小四核）  八核|3020mAh  不可拆卸式电池|1300万像素|EMUI 4.1（基于Android 6.0）|3GB|689
诺基亚7 Plus（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙660|2.2GHz（大四核），1.8GHz（小四核）  真八核|3800mAh  不可拆卸式电池|1300万像素+1200万像素|Android 8.0|4GB|798
荣耀8X Max（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7.12英寸  2244x1080像素|高通 骁龙660|1.95GHz（大四核），1.8GHz（小四核）  八核|5000mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.2.0（基于Android 8.1）|6GB|1739
华为畅享8（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙430（MSM8937）|1.4GHz（大四核），1.1GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.0（基于Android 8.0）|4GB|1199
三星Galaxy S轻奢版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.8英寸  2220x1080像素|高通 骁龙660|2.2GHz（大四核），1.8GHz（小四核）  八核|3000mAh  不可拆卸式电池|1600万像素|Android 8.0|4GB|3289
荣耀畅玩7A（2GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|高通 骁龙430（MSM8937）|1.4GHz（大四核），1.1GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素|EMUI 8.0（基于Android 8.0）|2GB|649
OPPO R15星云特别版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3400mAh  不可拆卸式电池|1600万像素+500万像素|ColorOS 5.0（基于Android 8.1）|6GB|2699
华为Mate RS保时捷版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2880x1440像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核） + 微智核i7  八核|4000mAh  不可拆卸式电池|彩色4000万像素+黑白2000万像素+800万像素长焦镜头|EMUI 8.1（基于Android 8.1）|6GB|9999
努比亚Z18 mini（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2160x1080像素|高通 骁龙660AIE|2.2GHz  八核|3450mAh  不可拆卸式电池|2400万像素+500万像素|Z18mini 定制版 UI（基于Android 8.1）|6GB|1799
vivo Y66i（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|3000mAh  不可拆卸式电池|1300万像素|Funtouch OS 3.2（基于Android 7.1）|3GB|1198
魅族魅蓝S6（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|三星 Exynos 7872|2.0GHz（大两核），1.6GHz（小四核）  六核|3000mAh  不可拆卸式电池|1600万像素|Flyme 6（基于Android N）|3GB|999
小米Note 3（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙660|2.2GHz  八核|3500mAh  不可拆卸式电池|双1200万像素|MIUI 8|6GB|1659
8848 钛金手机M5（巅峰版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.65英寸  2160x1080像素|高通 骁龙835|3450mAh  不可拆卸式电池|1200万像素|Android|6GB|256GB|1.7万
小米8青春版（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙660 AIE|2.2GHz  八核|3350mAh  不可拆卸式电池|1200万像素+500万像素|Android 8.1|6GB|1499
小米MIX 3（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙845 AIE|3200mAh  不可拆卸式电池|双1200万像素|8GB|128GB|双卡，Nano SIM卡|3599
荣耀Note8（EDI-AL10/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.6英寸  2560x1440像素|海思 Kirin 955|2.5GHz（大四核），1.8GHz（小四核）  八核|4500mAh  不可拆卸式电池|1300万像素|EMUI 5.0（基于Android 7.0）|4GB|1939
小米MIX（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2040x1080像素|高通 骁龙821（MSM8996 Pro）|2.35GHz  四核|4400mAh  不可拆卸式电池|1600万像素|MIUI 8|4GB|2199
锤子科技坚果3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|4000mAh  不可拆卸式电池|双1300万像素|Smartisan OS 4.x（基于Android）|4GB|1099
华为nova 2s（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核i6  八核|3340mAh  不可拆卸式电池|2000万像素+1600万像素|EMUI 8.0（基于Android 8.0）|6GB|1799
诺基亚X5（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.86英寸  1520x720像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3060mAh  不可拆卸式电池|1300万像素+500万像素|Android 8.1|3GB|1089
小米5S（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.15英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.15GHz  四核|3200mAh  不可拆卸式电池|1200万像素|MIUI 8|4GB|1939
中兴AXON 10 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.47英寸  2248x1080像素|高通 骁龙855|4300mAh  不可拆卸式电池|1600万像素+2000万像素|Android 9 Pie|8GB|256GB|即将上市
VERTU SIGNATURE 眼镜蛇限量款（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|2英寸  320x240像素|CMOS|LED补光灯|2011年05月|4G手机，3G手机，智能手机|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM），电信2G（CDMA）|GPS导航|247.4万
魅族MX6（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio X20|2.3GHz  十核|3060mAh  不可拆卸式电池|1200万像素|Flyme 5.2（基于Android 6.0）|4GB|999
锤子科技坚果R1（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.17英寸  2240x1080像素|高通 骁龙845|2.8GHz  八核|3600mAh  不可拆卸式电池|1200万像素+2000万像素|Smartisan OS（基于Android）|8GB|3799
荣耀11（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2560x1440像素|海思 Kirin 980|4000mAh  不可拆卸式电池|2000万像素+1200万像素|6GB/8GB|128GB/256GB|1200万像素|概念产品
魅族16th（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙845|2.8GHz  八核|3010mAh  不可拆卸式电池|2000万像素+1200万像素|Flyme OS|8GB|3298
小米5S plus（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1920x1080像素|高通 骁龙821（MSM8996 Pro）|2.35GHz  四核|3800mAh  不可拆卸式电池|双1300万像素|MIUI 8|6GB|2299
魅族魅蓝3（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5英寸  1280x720像素|联发科 MT6750|1.5GHz  八核|2870mAh  不可拆卸式电池|1300万像素|Flyme 5.1（基于YunOS）|2GB|599
荣耀V9 Play（4GB RAM/高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|联发科 MT6750|1.5GHz（大四核），1.0GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素|EMUI 5.1（基于Android 7.0）|4GB|900
金立S10（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|联发科 Helio P25|2.5GHz  八核|3450mAh  不可拆卸式电池|1600万像素+800万像素|amigo 4.0（基于Android 7.0）|6GB|2299
vivo APEX概念机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|高通 骁龙845|CMOS|LED补光灯|2018年|4G手机，3G手机，智能手机|电容屏，多点触控|移动3G（TD-SCDMA），联通3G（WCDMA），电信3G（CDMA2000），联通2G/移动2G（GSM）|即将上市
魅族PRO 7 Plus（标准版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|联发科 Helio X30|2.6GHz（双核），2.2GHz（大四核），1.9GHz（小四核）  十核|3500mAh  不可拆卸式电池|双1200万像素|Flyme 6（基于Android 7.0）|6GB|1799
华为Y9 2019（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2340x1080像素|海思 Kirin 710|4000mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.2（基于Android 8.1）|4GB|64GB|即将上市
vivo X9i（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|3080mAh  不可拆卸式电池|1600万像素|Funtouch OS 3.0（基于Android 6.0）|4GB|1998
OPPO R15梦镜版（陶瓷黑/梦境紫/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|高通 骁龙660|2.2GHz  八核|3400mAh  不可拆卸式电池|2000万像素+1600万像素|ColorOS 5.0（基于Android 8.1）|6GB|3299
华为P20 Pro（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  2240x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核I7  八核|4000mAh  不可拆卸式电池|4000万像素+2000万像素+800万像素|EMUI 8.1（基于Android 8.1）|8GB|5288
苹果iPhone X（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|5.85英寸  2436x1125像素|2.4GHz  四核|2716mAh  不可拆卸式电池|双1200万像素|iOS 11|3GB|64GB/256GB|概念产品
三星W2016（电信4G）|电信TD-LTE，电信FDD-LTE|3.9英寸  1280x768像素|三星 Exynos 7420|2.1GHz  八核|2000mAh  不可拆卸式电池|1600万像素|Android 5.1|3GB|4399
小米Max 4（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7英寸  2880x1440像素|高通 骁龙710|5400mAh|6GB/8GB|64GB/128GB|CMOS|LED补光灯|概念产品
三星W2018典藏尊铂版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|4.2英寸  1920x1080像素|高通 骁龙835（MSM8998）|2.35GHz（大四核），1.9GHz（小四核）  八核|2300mAh|1200万像素|Android 7.1|6GB|1.19万
华为畅享7S（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.65英寸  2160x1080像素|海思 Kirin 659|2.36GHz（大四核），1.7GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.0（基于Android 8.0）|3GB|899
诺基亚8 Sirocco（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|高通 骁龙835|2.45GHz（大四核），1.9GHz（小四核）  八核|3260mAh  不可拆卸式电池|1300万像素+1200万像素|Android 8.0|6GB|4699
努比亚Z17S（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.73英寸  2040x1080像素|高通 骁龙835（MSM8998）|2.45GHz  八核|3100mAh  不可拆卸式电池|2300万像素+1200万像素|nubia UI 5.1（基于Android 7.1）|6GB|2499
三星GALAXY A8（A8000/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1920x1080像素|高通 骁龙615（MSM8939）|1.5GHz（大四核），1.0GHz（小四核）  八核|3050mAh  不可拆卸式电池|1600万像素|TouchWiz（基于Android 5.1）|2GB|809
