品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
OPPO R15x （全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙660|1.95GHz  八核|3600mAh  不可拆卸式电池|1600万像素+200万像素|ColorOS 5.2（基于Android 8.1）|6GB|2299
vivo Y93（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1520x720像素|高通 Adreno439|1.95GHz  八核|4030mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS 4.5（基于Android 8.1）|4GB|1500
华为畅享9（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  1520x720像素|高通 骁龙450|1.8GHz  八核|4000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.2（基于Android 8.1）|3GB|999
OPPO R15（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|联发科 Helio P60（MT6771）|2.0GHz  八核|3450mAh  不可拆卸式电池|1600万像素+500万像素|ColorOS 5.0（基于Android 8.1）|6GB|2699
OPPO A7x（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|联发科 MT6771V|2.0GHz  八核|3500mAh  不可拆卸式电池|1600万像素+200万像素|ColorOS 5.2（基于Android 8.1）|4GB|1699
vivo X21（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.28英寸  2280x1080像素|高通 骁龙660AIE|2.2GHz（大四核），1.8GHz（小四核）  八核|3200mAh  不可拆卸式电池|主摄2x1200万像素（2400万感光单元）+副摄500万像素|Funtouch OS 4.0（基于Android 8.1）|6GB|2498
华为畅享9 Plus（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2340x1080像素|海思 Kirin 710|2.2GHz（大四核），1.7GHz（小四核）  八核|4000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.2（基于Android 8.1）|4GB|1499
vivo X23幻彩版（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.41英寸  2340x1080像素|高通 骁龙660AIE|1.95GHz  八核|3500mAh  不可拆卸式电池|双核1200万像素+1300万像素|Funtouch OS 4.5（基于Android 8.1）|6GB|2798
荣耀V10（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|3750mAh  不可拆卸式电池|2000万像素+1600万像素|EMUI 8.0（基于Android 8.0）|4GB|1899
荣耀Play（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|海思 Kirin 970|2.36GHz（大四核），1.8GHz（小四核）+微智核i7  八核|3750mAh  不可拆卸式电池|彩色1600万像素+彩色200万像素|EMUI 8.2（基于Android 8.1）|4GB|1699
华为折叠屏手机（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|8英寸  2048x1536像素|海思 Kirin 980|2 x Cortex A76 2.6GHz+2 x Cortex A76 1.92GHz+4 x Cortex A55 1.8GHz  八核|8000mAh  不可拆卸式电池|2000万像素+1200万像素|8GB|128GB/256GB/512GB|概念产品
华为nova 3i（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|海思 Kirin 710|2.2GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.2（基于Android 8.1）|4GB|1899
魅族16 X（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙710|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+2000万像素|Android 8.1|6GB|2098
苹果iPhone XI（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  3840x2160像素|苹果 A12|3500mAh  不可拆卸式电池|2400万像素+1200万像素+800万像素|iOS 12|4GB|128GB|概念产品
360 手机N7 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙710|4000mAh  不可拆卸式电池|1200万像素+200万像素|360 OS 3.0（基于Android 8.1）|6GB|64GB/128GB|1499
